name,district,lat,lon,flats,pop,dist_all,dist_public,openness_penalty,category_all,category_public
Tak Long Estate,Kowloon City,22.330105,114.2031,8200,22140,46.32166683793722,46.32166683793722,0.0,Well,Well
Kai Ching Estate,Kowloon City,22.33254,114.20292,5200,14040,59.51352134553351,59.51352134553351,0.0,Well,Well
Choi Fook Estate,Kwun Tong,22.328026,114.21717,4500,12150,22.89268374615947,22.89268374615947,0.0,Well,Well
Ching Ho Estate,North,22.49311,114.12577,7200,19440,5.180577332340486,5.180577332340486,0.0,Well,Well
Hin Yiu Estate,Sha Tin,22.36692,114.17457,800,2160,1.4466906240322124,1.4466906240322124,0.0,Well,Well
Mei Tin Estate,Sha Tin,22.37569,114.17018,6700,18090,34.24268559220168,34.24268559220168,0.0,Well,Well
Cheung Ching Estate,Kwai Tsing,22.34968,114.10681,6400,17280,3.143451479027121,3.143451479027121,0.0,Well,Well
Fu Shan Estate,Wong Tai Sin,22.34274,114.20913,2300,6210,38.63385655091665,38.63385655091665,0.0,Well,Well
Tai Hang Tung Estate,Sham Shui Po,22.33268,114.17167,2100,5670,98.39548729444773,98.39548729444773,0.0,Well,Well
Choi Tak Estate,Kwun Tong,22.3301,114.21279,5800,15660,22.729075974937132,22.729075974937132,0.0,Well,Well
Lei Muk Shue (1) Estate,Tsuen Wan,22.37706,114.13539,2300,6210,34.20921297770551,34.20921297770551,0.0,Well,Well
Lei Muk Shue (2) Estate,Tsuen Wan,22.37851,114.13444,4300,11610,28.93097960928256,28.93097960928256,0.0,Well,Well
Lei Muk Shue Estate,Tsuen Wan,22.37906,114.13627,3900,10530,30.4834705496017,30.4834705496017,0.0,Well,Well
Ka Fuk Estate,North,22.49267,114.13489,2000,5400,0.778364486406613,0.778364486406613,0.0,Well,Well
Upper Ngau Tau Kok Estate,Kwun Tong,22.31868,114.21725,6700,18090,49.40395853148662,49.40395853148662,0.0,Well,Well
Yue Wan Estate,Eastern,22.26582,114.242,3000,8100,29.978680633320433,48.61459006875986,18.635909435439427,Well,Well
Fu Tung Estate,Islands,22.28692,113.94148,1700,4590,7.987657127951391,7.987657127951391,0.0,Well,Well
Nga Ning Court,Islands,22.20359,114.02734,400,1080,65.9217720543315,65.9217720543315,0.0,Well,Well
Kam Peng Estate,Islands,22.28714,114.03718,300,810,9.153245224000994,9.153245224000994,0.0,Well,Well
Yat Tung (1) Estate,Islands,22.28055,113.93639,5600,15120,27.817767269275514,27.817767269275514,0.0,Well,Well
Yat Tung (2) Estate,Islands,22.28247,113.93458,6400,17280,64.91753734522727,64.91753734522727,0.0,Well,Well
Cheung Fat Estate,Kwai Tsing,22.36314,114.10348,600,1620,54.245342460219725,54.245342460219725,0.0,Well,Well
Lower Ngau Tau Kok Estate,Kwun Tong,22.321114,114.21527,4800,12960,20.910349705191734,20.910349705191734,0.0,Well,Well
Wang Tau Hom Estate,Wong Tai Sin,22.3409,114.18601,5900,15930,18.293558534101777,56.295457694683755,38.00189916058198,Well,Well
Cheung Hang Estate,Kwai Tsing,22.35723,114.0983,4400,11880,52.706976778293445,52.706976778293445,0.0,Well,Well
Cheung On Estate,Kwai Tsing,22.35992,114.10435,600,1620,48.48361052498232,69.43898865314692,20.955378128164604,Well,Well
Yau Lai Estate,Kwun Tong,22.30194,114.23627,9000,24300,9.932099373923673,9.932099373923673,0.0,Well,Well
Ap Lei Chau Estate,Southern,22.24443,114.15216,4500,12150,16.962611976241817,16.962611976241817,0.0,Well,Well
Lei Tung Estate,Southern,22.24077,114.15697,1100,2970,52.026970362081876,52.026970362081876,0.0,Well,Well
Fuk Loi Estate,Tsuen Wan,22.37442,114.11204,3100,8370,54.34175099878064,54.34175099878064,0.0,Well,Well
Wu King Estate,Tuen Mun,22.37652,113.96507,4400,11880,4.612973368010076,4.612973368010076,0.0,Well,Well
Lam Tin Estate,Kwun Tong,22.31041,114.23588,3000,8100,57.056532648186945,57.056532648186945,0.0,Well,Well
Mei Tung Estate,Wong Tai Sin,22.33314,114.19014,1800,4860,21.714083597578608,75.94599278623221,54.2319091886536,Well,Well
Hing Wah (1) Estate,Eastern,22.26217,114.23554,2300,6210,37.93753822280964,37.93753822280964,0.0,Well,Well
Cheung Kwai Estate,Islands,22.21394,114.02526,500,1350,69.97056908084475,104.96260384916802,34.992034768323265,Well,Well
