estate,district,lat,lon,flats,population,dist_glass,dist_textiles,dist_hazardous,dist_batteries,dist_ewaste,district_vulnerability,nearest_hub_distance_m,dist_glass_after,dist_textiles_after,dist_hazardous_after,dist_batteries_after,dist_ewaste_after
Tak Long Estate,Kowloon City,22.330105,114.2031,8200,22140,107.361463648628,767.9625954429065,107.361463648628,107.361463648628,107.361463648628,0.797176650828884,271.39188313794085,107.361463648628,271.39188313794085,107.361463648628,107.361463648628,107.361463648628
Kai Ching Estate,Kowloon City,22.33254,114.20292,5200,14040,318.446962927104,847.8905403034832,318.446962927104,168.06055957075748,123.33396763134988,0.797176650828884,0.0,0.0,0.0,0.0,0.0,0.0
Choi Fook Estate,Kwun Tong,22.328026,114.21717,4500,12150,167.51009486198978,791.2560926490231,167.51009486198978,167.51009486198978,167.51009486198978,0.4964709029810196,1549.2647526607611,167.51009486198978,791.2560926490231,167.51009486198978,167.51009486198978,167.51009486198978
Ching Ho Estate,North,22.49311,114.12577,7200,19440,193.00943100460196,715.0820972993257,193.00943100460196,5.180577332340486,193.00943100460196,0.6075708532536184,3431.2275243400695,193.00943100460196,715.0820972993257,193.00943100460196,5.180577332340486,193.00943100460196
Hin Yiu Estate,Sha Tin,22.36692,114.17457,800,2160,273.4677533213918,45.102882880780676,559.8272287275198,457.4814792122158,521.3952746747642,0.6508778390990247,3123.337344498323,273.4677533213918,45.102882880780676,559.8272287275198,457.4814792122158,521.3952746747642
Mei Tin Estate,Sha Tin,22.37569,114.17018,6700,18090,390.666670268454,668.8403009199375,420.57275068421154,420.57275068421154,420.57275068421154,0.6508778390990247,3045.058608170262,390.666670268454,668.8403009199375,420.57275068421154,420.57275068421154,420.57275068421154
Cheung Ching Estate,Kwai Tsing,22.34968,114.10681,6400,17280,125.7503455200269,102.91868479398231,125.7503455200269,103.09218494424493,125.7503455200269,0.1635933757904977,4112.192257988765,125.7503455200269,102.91868479398231,125.7503455200269,103.09218494424493,125.7503455200269
Fu Shan Estate,Wong Tai Sin,22.34274,114.20913,2300,6210,108.13252388541328,987.4296063246738,108.13252388541328,108.13252388541328,108.13252388541328,0.4953152685747593,1301.6627019442121,108.13252388541328,987.4296063246738,108.13252388541328,108.13252388541328,108.13252388541328
Tai Hang Tung Estate,Sham Shui Po,22.33268,114.17167,2100,5670,321.4495170290129,527.1912019134465,400.5311742677193,210.36017310196226,400.5311742677193,0.572474461183177,1735.1482094717437,321.4495170290129,527.1912019134465,400.5311742677193,210.36017310196226,400.5311742677193
Choi Tak Estate,Kwun Tong,22.3301,114.21279,5800,15660,92.9960157940643,498.37301967491567,74.20807715098579,92.9960157940643,92.9960157940643,0.4964709029810196,1050.8145511808048,92.9960157940643,498.37301967491567,74.20807715098579,92.9960157940643,92.9960157940643
Lei Muk Shue (1) Estate,Tsuen Wan,22.37706,114.13539,2300,6210,194.36651950497696,793.4871257819642,154.4619467408837,194.36651950497696,194.36651950497696,0.8928571428568196,479.89691221359124,194.36651950497696,479.89691221359124,154.4619467408837,194.36651950497696,194.36651950497696
Lei Muk Shue (2) Estate,Tsuen Wan,22.37851,114.13444,4300,11610,31.085057199394733,980.6027450345337,31.085057199394733,31.085057199394733,31.085057199394733,0.8928571428568196,336.1972012623136,31.085057199394733,336.1972012623136,31.085057199394733,31.085057199394733,31.085057199394733
Lei Muk Shue Estate,Tsuen Wan,22.37906,114.13627,3900,10530,168.85672158368337,976.69620522312,134.6955071332735,168.85672158368337,168.85672158368337,0.8928571428568196,520.3469493716732,168.85672158368337,520.3469493716732,134.6955071332735,168.85672158368337,168.85672158368337
Ka Fuk Estate,North,22.49267,114.13489,2000,5400,104.14923754790928,75.78887165081507,104.14923754790928,0.778364486406613,104.14923754790928,0.6075708532536184,2603.090284131227,104.14923754790928,75.78887165081507,104.14923754790928,0.778364486406613,104.14923754790928
Upper Ngau Tau Kok Estate,Kwun Tong,22.31868,114.21725,6700,18090,125.8530939735656,594.0281679547957,125.8530939735656,125.8530939735656,125.8530939735656,0.4964709029810196,1671.655226250839,125.8530939735656,594.0281679547957,125.8530939735656,125.8530939735656,125.8530939735656
Yue Wan Estate,Eastern,22.26582,114.242,3000,8100,54.445308490414774,257.089727283885,54.445308490414774,54.445308490414774,54.445308490414774,0.08345532267957173,5674.483483125755,54.445308490414774,257.089727283885,54.445308490414774,54.445308490414774,54.445308490414774
Fu Tung Estate,Islands,22.28692,113.94148,1700,4590,208.3287022988264,198.855627463627,208.3287022988264,117.69450031987766,208.3287022988264,0.3895043047188248,1770.888077151123,208.3287022988264,198.855627463627,208.3287022988264,117.69450031987766,208.3287022988264
Nga Ning Court,Islands,22.20359,114.02734,400,1080,125.19950581667091,339.8144481083874,503.74259058311895,503.74259058311895,339.8144481083874,0.3895043047188248,12493.082071358253,125.19950581667091,339.8144481083874,503.74259058311895,503.74259058311895,339.8144481083874
Kam Peng Estate,Islands,22.28714,114.03718,300,810,256.47463527770725,255.5995240702018,256.47463527770725,212.9820485607642,256.47463527770725,0.3895043047188248,8717.177124789952,256.47463527770725,255.5995240702018,256.47463527770725,212.9820485607642,256.47463527770725
Yat Tung (1) Estate,Islands,22.28055,113.93639,5600,15120,27.817767269275514,328.69129535486735,27.817767269275514,27.817767269275514,27.817767269275514,0.3895043047188248,2647.3066270016398,27.817767269275514,328.69129535486735,27.817767269275514,27.817767269275514,27.817767269275514
Yat Tung (2) Estate,Islands,22.28247,113.93458,6400,17280,262.2671165043751,373.04566390264625,64.91753734522727,100.53094951379336,262.2671165043751,0.3895043047188248,2624.4083795712977,262.2671165043751,373.04566390264625,64.91753734522727,100.53094951379336,262.2671165043751
Cheung Fat Estate,Kwai Tsing,22.36314,114.10348,600,1620,220.70773357621087,54.245342460219725,220.70773357621087,76.65594101689192,220.70773357621087,0.1635933757904977,3351.505877440297,220.70773357621087,54.245342460219725,220.70773357621087,76.65594101689192,220.70773357621087
Lower Ngau Tau Kok Estate,Kwun Tong,22.321114,114.21527,4800,12960,114.26294938102443,756.7603954694583,213.66654098160075,206.3667875849296,213.66654098160075,0.4964709029810196,1796.631160006823,114.26294938102443,756.7603954694583,213.66654098160075,206.3667875849296,213.66654098160075
Wang Tau Hom Estate,Wong Tai Sin,22.3409,114.18601,5900,15930,196.65710094316248,836.6522557811832,280.400398499939,280.400398499939,117.04133263363846,0.4953152685747593,0.0,0.0,0.0,0.0,0.0,0.0
Cheung Hang Estate,Kwai Tsing,22.35723,114.0983,4400,11880,187.64269751614583,430.83475954931237,187.64269751614583,52.706976778293445,187.64269751614583,0.1635933757904977,4159.45998746796,187.64269751614583,430.83475954931237,187.64269751614583,52.706976778293445,187.64269751614583
Cheung On Estate,Kwai Tsing,22.35992,114.10435,600,1620,161.31893949030092,399.57973582898614,161.31893949030092,161.31893949030092,161.31893949030092,0.1635933757904977,3481.391538767026,161.31893949030092,399.57973582898614,161.31893949030092,161.31893949030092,161.31893949030092
Yau Lai Estate,Kwun Tong,22.30194,114.23627,9000,24300,306.06910573183154,351.97804512611236,306.06910573183154,306.06910573183154,306.06910573183154,0.4964709029810196,1616.2891073728445,306.06910573183154,351.97804512611236,306.06910573183154,306.06910573183154,306.06910573183154
Ap Lei Chau Estate,Southern,22.24443,114.15216,4500,12150,160.47937991545686,202.0373888211447,160.47937991545686,155.5214452967319,160.47937991545686,0.5164492260702831,1725.0429127532798,160.47937991545686,202.0373888211447,160.47937991545686,155.5214452967319,160.47937991545686
Lei Tung Estate,Southern,22.24077,114.15697,1100,2970,440.26167092119437,431.2035685315504,481.90578518820934,52.026970362081876,481.90578518820934,0.5164492260702831,2354.3287738725026,440.26167092119437,431.2035685315504,481.90578518820934,52.026970362081876,481.90578518820934
Fuk Loi Estate,Tsuen Wan,22.37442,114.11204,3100,8370,54.34175099878064,363.16186824128846,54.34175099878064,54.34175099878064,54.34175099878064,0.8928571428568196,2035.271168351158,54.34175099878064,363.16186824128846,54.34175099878064,54.34175099878064,54.34175099878064
Wu King Estate,Tuen Mun,22.37652,113.96507,4400,11880,295.5662315092783,359.5970555007398,295.5662315092783,223.6408397199486,295.5662315092783,0.2468510574009941,8763.09812406956,295.5662315092783,359.5970555007398,295.5662315092783,223.6408397199486,295.5662315092783
Lam Tin Estate,Kwun Tong,22.31041,114.23588,3000,8100,208.25009656811525,720.1271435559137,208.25009656811525,208.25009656811525,208.25009656811525,0.4964709029810196,698.1903245928256,208.25009656811525,698.1903245928256,208.25009656811525,208.25009656811525,208.25009656811525
Mei Tung Estate,Wong Tai Sin,22.33314,114.19014,1800,4860,75.94599278623221,289.94758755708466,75.94599278623221,75.94599278623221,75.94599278623221,0.4953152685747593,961.7608157425246,75.94599278623221,289.94758755708466,75.94599278623221,75.94599278623221,75.94599278623221
Hing Wah (1) Estate,Eastern,22.26217,114.23554,2300,6210,138.33144881486223,155.6532542353786,138.33144881486223,57.4587049204832,138.33144881486223,0.08345532267957173,6013.4710290763605,138.33144881486223,155.6532542353786,138.33144881486223,57.4587049204832,138.33144881486223
Cheung Kwai Estate,Islands,22.21394,114.02526,500,1350,750.004863293318,864.7073965583526,750.004863293318,679.2404369136706,750.004863293318,0.3895043047188248,11962.867360211048,750.004863293318,864.7073965583526,750.004863293318,679.2404369136706,750.004863293318
Hing Wah (2) Estate,Eastern,22.26236,114.23359,3600,9720,72.11148755116643,334.4620392600838,72.11148755116643,72.11148755116643,72.11148755116643,0.08345532267957173,5987.931744551801,72.11148755116643,334.4620392600838,72.11148755116643,72.11148755116643,72.11148755116643
