hub_rank,estate,district,lat,lon,estate_population,estates_in_radius,population_in_radius,new_estates_covered,new_population_covered,weighted_score,score_multistream,score_textile_rescue,score_equity_bonus
1,Cheung Shan Estate,Tsuen Wan,22.37898,114.13121,4320,5,50220,5,50220,546281.82,396825.04,673380.0,370340.61
2,Sau Mau Ping Estate,Kwun Tong,22.31621,114.23328,33750,10,129060,10,129060,564207.96,409842.53,697140.0,373360.77
3,Fu Cheong Estate,Sham Shui Po,22.32861,114.15465,16200,10,58590,10,58590,547802.24,398341.22,676080.0,365388.12
4,Wah Fu (II) Estate,Southern,22.25139,114.13718,11610,3,26730,3,26730,543390.06,395531.82,670680.0,360799.21
5,Wang Tau Hom Estate,Wong Tai Sin,22.3409,114.18601,15930,5,73980,5,73980,542636.49,394927.65,669870.0,359833.09
6,Queens Hill Estate,North,22.50422,114.15693,24030,1,24030,1,24030,541490.69,394120.69,667980.0,361594.45
7,Cheung Tung Estate,Islands,22.298462,113.95334,12960,2,22680,2,22680,539928.28,393425.52,666630.0,355828.48
8,Wo Che Estate,Sha Tin,22.388493,114.19636,17010,3,29970,3,29970,535959.41,390356.6,660960.0,358065.95
9,Kwong Fuk Estate,Tai Po,22.44784,114.17392,16740,3,20790,3,20790,531544.66,387678.58,656370.0,348536.53
10,Kai Ching Estate,Kowloon City,22.33254,114.20292,14040,5,80190,5,80190,530316.34,386458.08,653670.0,355375.09
